id,popn,mother,gender,SB85a,SB85b,SB85c,SB85d,SB101a,SB101b,SB101c,SB101d,SB243a,SB243b,SB243c,SB243d,CT24a,CT24b,CT24c,CT24d,CT52a,CT52b,CT52c,CT52d,SB207a,SB207b,SB207c,SB207d,SB24a,SB24b,SB24c,SB24d
1927,FR,,F,100,103,103,103,179,179,179,179,117,120,123,126,308,312,316,319,267,282,301,306,105,105,105,105,158,160,166,217
2075,FR,,M,100,103,103,106,179,179,179,179,120,120,120,120,311,316,316,317,282,282,286,287,105,105,105,110,160,166,169,198
2008,FR,,M,103,103,103,103,179,179,179,179,120,120,120,126,311,316,316,317,282,287,329,329,105,105,105,105,158,158,160,166
2011,FR,,M,103,103,103,103,179,179,179,187,120,120,123,126,308,311,316,316,286,287,329,287,105,105,105,105,160,160,198,198
2015,FR,,M,100,100,103,103,179,179,179,187,120,120,123,126,316,316,316,319,267,282,301,267,105,105,105,105,158,160,160,201
2017,FR,,M,100,100,103,103,179,179,179,179,120,120,120,126,311,316,316,316,267,282,301,329,105,105,105,105,153,158,158,166
2018,FR,,M,100,103,103,103,179,179,179,179,120,120,120,123,308,311,312,316,267,282,329,267,105,105,105,105,158,160,198,201
2019,FR,,M,100,103,103,103,179,179,179,179,117,120,123,126,311,311,312,316,282,301,306,301,105,105,105,105,158,160,166,201
2020,FR,,M,,,,,179,179,179,179,120,120,120,123,,,,,,,,,105,105,105,105,,,,
2021,FR,,M,100,100,103,103,179,179,179,179,120,123,123,123,308,308,316,316,267,282,303,307,105,105,105,105,160,166,198,201
2022,FR,,M,100,103,103,103,179,179,179,187,120,120,120,123,308,308,316,316,282,301,301,301,105,105,105,105,160,160,166,166
2023,FR,,M,100,103,103,103,179,179,179,179,117,120,120,123,312,316,317,317,282,287,301,307,105,105,105,105,160,201,217,219
2024,FR,,M,103,103,103,103,179,179,179,179,120,120,123,123,311,311,311,316,267,282,267,282,105,105,105,105,160,160,166,166
2025,FR,,M,103,103,103,103,179,179,179,179,117,117,117,117,308,308,316,319,267,282,282,282,105,105,105,105,160,160,160,219
2026,FR,,M,100,103,103,103,179,179,179,179,120,120,123,126,308,308,311,316,282,282,282,282,105,105,105,105,153,158,189,198
2028,FR,,M,100,103,103,103,179,179,179,179,120,120,120,123,308,312,316,319,,,,,105,105,105,105,158,160,166,217
2029,FR,,M,100,100,103,103,179,179,179,179,120,120,120,123,312,316,317,319,,,,,105,105,105,105,158,158,166,201
2030,FR,,M,103,103,103,103,179,179,179,187,120,120,120,126,308,311,311,317,267,287,267,287,105,105,105,105,158,160,189,201
2031,FR,,M,100,100,103,103,179,179,186,186,117,117,117,117,312,312,316,316,267,301,306,267,105,105,105,105,158,160,201,219
2032,FR,,M,103,103,103,103,179,179,187,187,120,120,120,123,308,312,316,319,282,287,306,329,105,105,105,105,160,160,160,189
2033,FR,,M,,,,,179,179,179,179,117,120,120,123,316,316,319,319,,,,,105,105,105,105,160,166,166,201
2034,FR,,M,100,103,103,106,179,186,187,179,120,123,126,126,308,316,316,308,282,307,282,307,105,105,105,105,160,160,201,219
2035,FR,,M,103,103,103,103,179,187,187,179,120,120,126,126,308,308,311,316,267,282,287,329,105,105,105,105,160,160,160,160
2036,FR,,M,103,103,103,103,179,179,187,179,120,120,123,126,308,311,311,316,267,282,287,287,105,105,105,105,158,158,160,201
2037,FR,,M,100,100,103,103,,,,,120,120,120,123,,,,,,,,,105,105,105,105,,,,
2039,FR,,M,103,103,103,103,179,179,179,187,120,120,120,123,308,308,311,317,267,282,287,287,105,105,105,105,158,158,158,233
2040,FR,,M,103,103,103,103,179,179,179,187,120,120,120,120,311,311,311,319,267,301,267,301,105,105,105,105,158,160,198,201
2041,FR,,M,100,100,103,103,179,179,186,187,120,120,120,123,308,316,317,319,267,286,267,286,105,105,105,105,160,166,201,219
2042,FR,,M,103,103,103,103,179,179,179,179,120,120,120,123,308,308,308,311,267,282,287,267,105,105,105,105,158,160,201,233
2043,FR,,M,100,100,103,103,179,179,179,179,120,120,126,126,311,312,316,317,282,307,306,282,105,105,105,105,158,160,166,198
2045,FR,,M,103,103,103,103,179,179,179,187,120,120,120,123,311,311,316,317,282,287,307,287,105,105,105,105,158,158,160,166
2046,FR,,M,100,103,103,103,179,179,179,179,120,126,126,126,308,311,311,316,282,306,307,282,105,105,105,110,160,166,166,217
2047,FR,,M,103,103,103,106,179,179,186,186,120,120,123,126,308,311,316,317,267,287,307,329,105,105,105,105,158,160,201,219
2048,FR,,M,100,103,103,103,179,179,179,179,120,120,120,126,308,311,312,312,282,307,306,282,105,105,105,110,158,160,166,198
2050,FR,,M,100,100,103,103,,,,,120,120,126,126,,,,,,,,,,,,,,,,
2051,FR,,M,103,103,103,103,179,179,179,179,120,120,120,123,308,316,316,308,267,267,282,287,105,105,105,105,158,166,166,201
2052,FR,,M,100,103,103,103,179,179,179,179,120,120,120,123,311,316,317,311,266,282,267,282,105,105,105,105,158,160,160,198
2054,FR,,M,100,103,103,103,179,179,179,187,120,120,123,126,308,311,312,316,282,286,282,282,105,105,105,105,153,153,160,201
2057,FR,,M,100,100,103,103,179,179,179,179,120,120,126,126,308,311,311,317,267,286,287,267,105,105,105,105,153,158,160,160
2058,FR,,M,100,103,103,103,179,179,179,179,120,120,120,120,316,317,317,319,267,282,286,306,105,105,105,105,160,160,166,201
2059,FR,,M,103,103,103,103,179,179,179,187,120,120,120,126,308,316,316,308,287,329,287,329,105,105,105,105,160,160,160,198
2060,FR,,M,103,103,103,103,179,179,179,179,120,120,120,123,308,311,311,316,267,282,286,287,105,105,105,105,153,158,158,198
2062,FR,,M,103,103,103,103,179,187,187,179,120,120,123,126,308,316,316,308,267,282,267,282,105,105,105,105,158,160,160,201
2064,FR,,M,100,103,103,103,179,179,179,187,117,120,126,126,312,316,316,312,282,286,307,282,105,105,105,105,158,160,201,217
2066,FR,,M,100,103,103,106,179,179,179,179,117,120,120,123,316,316,317,317,267,282,306,267,105,105,105,105,160,160,201,219
2067,FR,,M,103,103,103,103,179,179,179,179,120,120,123,126,311,312,319,311,282,303,303,306,105,105,105,105,160,160,166,217
2068,FR,,M,103,103,103,103,179,179,187,187,120,120,120,123,308,312,316,316,267,282,301,307,105,105,105,105,158,158,160,160
2069,FR,,M,100,103,103,103,179,179,179,179,120,120,120,120,311,311,316,317,265,271,282,265,105,105,105,105,158,166,169,198
2073,FR,,M,103,103,103,103,179,179,179,179,,,,,,,,,,,,,105,105,105,105,160,169,217,233
2074,FR,,M,103,103,103,103,179,186,187,179,120,120,120,123,311,311,312,312,267,301,307,267,105,105,105,105,160,160,219,219
2076,FR,,M,100,100,103,103,179,179,179,179,120,120,120,126,312,316,317,312,282,307,307,307,105,105,105,105,158,160,160,166
2079,FR,,M,100,103,103,103,179,179,179,179,117,120,123,126,308,312,319,312,267,306,307,329,105,105,105,105,160,166,166,217
2080,FR,,M,100,103,103,106,,,,,117,120,120,126,,,,,,,,,105,105,105,105,160,160,198,201
2084,FR,,M,100,100,100,103,179,179,179,179,117,120,120,126,311,312,316,311,267,282,303,282,105,105,105,105,158,158,160,198
2085,FR,,M,100,103,103,103,179,179,186,187,120,120,120,123,311,311,317,317,282,287,307,307,105,105,105,105,158,160,166,219
2086,FR,,M,103,103,103,106,179,179,179,186,120,120,120,123,308,311,311,316,267,282,307,267,105,105,105,105,158,160,198,219
2088,FR,,M,100,100,100,103,179,179,179,179,120,120,120,123,311,316,316,317,282,286,287,282,105,105,105,105,153,158,158,166
2089,FR,,M,103,103,103,103,179,179,179,179,120,120,126,126,311,316,316,311,282,306,307,307,105,105,105,105,158,160,198,217
2090,FR,,M,103,103,103,106,179,179,179,179,120,120,120,123,308,308,308,308,267,282,286,267,105,105,105,105,158,160,201,233
2091,FR,,M,,,,,179,179,179,179,117,120,120,123,311,316,319,319,282,286,301,307,105,105,105,105,153,158,160,217
2092,FR,,M,100,103,103,106,179,179,179,187,117,120,120,123,311,311,319,319,282,287,307,307,105,105,105,105,160,160,166,166
2093,FR,,M,103,103,103,106,179,179,186,187,120,120,126,126,312,316,316,319,271,286,287,306,105,105,105,110,160,160,198,219
2097,FR,,M,103,103,103,103,179,179,179,186,120,120,120,123,308,311,316,316,282,282,282,282,105,105,105,105,153,153,153,219
2202,FR,,M,103,103,103,103,179,179,179,186,120,120,123,126,,,,,,,,,105,105,105,105,153,198,217,219
2205,FR,,M,100,100,103,103,179,179,179,179,120,120,120,120,311,316,316,319,282,282,287,307,105,105,105,105,158,160,160,201
2208,FR,,M,100,100,103,103,179,179,179,179,117,120,120,123,312,312,316,316,267,282,306,267,105,105,105,105,166,201,217,219
1913,FR,,F,103,103,103,103,179,179,179,179,117,120,120,123,308,312,316,319,267,306,307,307,105,105,105,105,158,160,160,166
2800,FR,1913,,103,103,103,103,179,179,179,179,117,120,120,126,308,312,316,317,267,287,307,329,105,105,105,105,160,160,158,198
2809,FR,1913,,103,103,103,103,179,179,179,179,120,120,123,123,308,311,316,316,267,287,307,329,105,105,105,105,150,160,166,198
2811,FR,1913,,100,103,103,103,179,179,179,179,120,120,120,126,308,308,308,319,267,282,306,267,105,105,105,105,158,160,160,198
2814,FR,1913,,103,103,103,103,179,179,179,179,120,123,123,126,308,316,317,319,267,271,287,307,105,105,105,105,160,160,166,198
2816,FR,1913,,103,103,103,103,179,179,179,179,120,120,123,126,308,312,316,312,267,286,287,307,105,105,105,105,160,160,166,198
1914,FR,,F,103,103,103,103,179,179,179,179,117,117,117,120,312,316,316,316,301,303,303,306,105,105,105,105,158,160,160,166
2820,FR,1914,,103,103,103,103,179,179,179,179,117,120,120,123,308,312,312,316,282,287,303,303,105,105,105,105,160,160,166,169
2832,FR,1914,,103,103,103,103,179,179,179,186,120,120,120,120,308,316,316,316,282,303,282,303,105,105,105,105,160,160,169,219
2833,FR,1914,,103,103,103,106,179,179,179,179,117,117,117,120,316,316,316,316,282,282,301,303,105,105,105,105,158,160,160,166
2834,FR,1914,,103,103,103,103,179,179,179,179,120,120,120,120,308,316,316,308,282,287,303,303,105,105,105,105,158,158,166,169
2836,FR,1914,,103,103,103,103,179,179,179,179,117,117,117,120,311,316,316,319,267,301,303,267,105,105,105,105,158,160,166,201
1915,FR,,F,103,103,103,106,179,179,179,186,120,120,123,123,308,316,316,319,267,282,307,282,105,105,105,105,166,201,201,219
2840,FR,1915,,103,103,103,106,179,179,179,186,120,120,123,123,308,316,316,319,282,287,307,307,105,105,105,105,158,166,166,219
2849,FR,1915,,100,103,103,106,179,179,179,186,120,120,120,123,308,316,316,319,267,282,301,282,105,105,105,105,166,201,201,219
2850,FR,1915,,103,103,103,103,179,179,179,186,120,120,123,123,308,316,316,319,267,282,287,282,105,105,105,105,166,201,201,219
2851,FR,1915,,103,103,103,106,179,179,186,187,120,120,120,123,308,316,317,319,267,282,307,307,105,105,105,105,160,160,201,219
2853,FR,1915,,100,103,103,106,179,179,179,179,120,120,120,123,308,316,316,317,267,282,267,267,105,105,105,105,160,166,198,201
1916,FR,,F,103,103,103,106,179,179,179,186,120,120,123,123,316,316,316,319,282,282,301,307,105,105,105,105,166,166,217,219
2869,FR,1916,,103,103,103,103,179,179,179,187,123,123,126,126,312,316,316,319,282,282,286,282,105,105,105,105,153,160,166,217
2870,FR,1916,,100,103,103,106,179,179,179,186,109,120,120,123,308,312,316,319,282,306,307,282,105,105,105,105,153,166,201,219
2871,FR,1916,,100,103,103,106,179,179,179,179,120,123,126,126,316,317,319,319,267,282,301,307,105,105,105,105,153,166,201,217
2872,FR,1916,,103,103,103,106,179,179,186,187,120,120,120,123,308,316,319,308,282,301,282,282,105,105,105,105,153,166,201,219
2873,FR,1916,,103,103,103,103,179,179,179,179,120,120,123,126,308,311,311,319,282,286,301,301,105,105,105,105,153,153,166,217
1917,FR,,F,100,103,103,103,,,,,120,120,120,123,316,316,316,316,267,282,301,303,105,105,105,105,160,160,166,219
2880,FR,1917,,103,103,103,103,179,179,187,187,120,120,120,123,311,312,316,316,267,301,267,301,105,105,105,105,160,160,166,219
2889,FR,1917,,100,103,103,103,179,179,187,187,120,123,126,126,312,316,316,316,282,286,303,307,105,105,105,105,160,166,217,219
2890,FR,1917,,100,103,103,103,179,179,179,179,120,120,120,120,316,316,316,319,267,282,286,303,105,105,105,105,160,166,166,201
2891,FR,1917,,103,103,103,103,179,179,179,187,120,120,120,120,311,316,317,316,267,282,303,267,105,105,105,105,160,160,166,198
2892,FR,1917,,100,100,103,103,179,179,179,187,120,120,120,123,316,316,317,319,267,282,286,282,105,105,105,105,160,160,166,166
