id,popn,mother,gender,SB85a,SB85b,SB85c,SB85d,SB101a,SB101b,SB101c,SB101d,SB243a,SB243b,SB243c,SB243d,CT24a,CT24b,CT24c,CT24d,CT52a,CT52b,CT52c,CT52d,SB207a,SB207b,SB207c,SB207d,SB24a,SB24b,SB24c,SB24d
2006,FR,,F,100,103,103,103,179,179,186,187,117,117,117,117,308,311,311,316,287,301,303,329,105,105,105,105,158,160,219,219
2007,FR,,F,100,100,103,103,,,,,117,120,120,123,,,,,,,,,,,,,160,166,201,217
2009,FR,,F,,,,,179,179,179,179,117,117,120,120,,,,,,,,,,,,,,,,
2010,FR,,F,103,103,103,103,,,,,117,117,117,117,,,,,,,,,,,,,,,,
2012,FR,,F,103,103,103,103,179,179,179,179,117,120,120,123,308,308,316,316,267,282,301,306,105,105,105,105,158,166,201,217
2013,FR,,F,100,103,103,103,179,179,179,179,120,120,123,126,,,,,,,,,105,105,105,105,160,189,201,219
2014,FR,,F,100,103,103,103,179,179,179,187,120,120,123,126,308,311,316,317,267,282,303,307,105,105,105,105,158,158,160,160
2016,FR,,F,100,100,100,103,179,179,179,179,120,120,123,126,308,308,316,316,301,307,307,329,105,105,105,105,158,158,160,201
2027,FR,,F,100,103,103,103,179,179,179,179,120,123,123,126,308,316,317,317,301,301,307,301,105,105,105,105,158,201,201,219
2038,FR,,F,103,103,103,103,179,179,179,179,123,123,126,126,308,311,316,316,267,267,267,267,105,105,105,105,153,158,160,198
2044,FR,,F,100,103,103,106,179,179,179,187,120,120,120,123,308,311,316,316,287,301,307,307,105,105,105,105,158,158,166,217
2049,FR,,F,103,103,103,106,179,179,179,187,120,120,123,126,311,316,316,319,267,282,287,,105,105,105,105,158,198,201,201
2053,FR,,F,103,103,103,103,179,179,187,187,120,120,120,126,308,311,311,316,267,282,287,287,105,105,105,105,158,160,198,201
2055,FR,,F,100,103,103,103,179,179,179,179,120,120,120,123,308,311,312,316,282,282,286,282,105,105,105,105,153,158,198,217
2063,FR,,F,,,,,179,179,179,179,,,,,,,,,,,,,105,105,105,105,,,,
2065,FR,,F,103,103,103,103,179,179,179,179,120,120,120,123,316,316,317,319,267,282,301,282,105,105,105,105,158,160,166,201
2070,FR,,F,100,100,103,103,179,179,179,179,120,120,120,126,311,316,317,311,282,287,282,282,105,105,105,105,158,158,166,169
2077,FR,,F,100,103,103,103,179,179,179,186,120,120,120,126,311,311,316,316,271,282,286,287,105,105,105,105,158,160,166,219
2081,FR,,F,103,103,103,103,186,186,187,187,120,120,123,126,311,311,312,316,287,287,301,301,105,105,105,105,160,198,219,219
2082,FR,,F,103,103,103,103,179,179,187,187,117,120,120,120,316,316,316,316,267,282,267,282,105,105,105,105,153,158,160,160
2083,FR,,F,103,103,103,103,179,179,186,187,120,120,120,120,311,316,316,317,267,286,307,267,105,105,105,105,160,160,201,219
2087,FR,,F,103,103,103,103,179,179,179,179,117,120,120,123,316,317,317,319,267,282,307,282,105,105,105,105,160,160,166,201
2095,FR,,F,,,,,179,179,179,179,,,,,,,,,267,267,286,301,105,105,105,105,160,160,166,169
2096,FR,,F,103,103,103,103,179,179,179,186,120,120,123,123,316,316,319,319,267,282,267,267,105,105,105,105,160,166,219,219
2098,FR,,F,100,100,100,103,179,179,187,187,120,120,120,123,311,316,316,317,282,307,329,329,105,105,105,105,153,160,160,201
2099,FR,,F,100,103,103,106,179,179,187,187,117,120,120,123,311,316,319,319,287,306,307,329,105,105,105,105,160,160,219,219
2201,FR,,F,100,103,103,103,179,179,186,186,117,120,120,123,316,316,317,317,307,307,307,307,105,105,105,105,158,160,201,219
2203,FR,,F,103,103,103,103,179,179,179,187,120,120,123,126,308,308,308,308,267,287,329,267,105,105,105,105,,,,
2204,FR,,F,103,103,103,106,179,179,179,187,120,120,123,123,316,316,316,316,282,307,282,307,105,105,105,105,160,166,201,201
2206,FR,,F,103,103,103,103,179,179,179,179,120,120,120,126,311,311,311,316,267,287,267,287,105,105,105,105,153,158,158,198
2207,FR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,FR,,F,103,103,103,103,179,179,179,187,117,120,120,120,308,308,311,316,282,286,329,282,105,105,105,105,160,160,160,198
2210,FR,,F,103,103,103,103,179,179,179,179,120,120,120,126,311,311,316,318,267,282,329,267,105,105,105,105,153,158,158,160
2056,FR,,F,100,103,103,103,179,179,179,179,120,120,120,123,308,316,316,317,267,282,307,329,105,105,105,105,158,158,160,160
1918,FR,,F,103,103,103,103,179,179,187,187,120,120,120,123,308,308,311,308,282,287,329,287,105,105,105,105,160,166,189,201
1919,FR,,F,100,103,103,103,179,179,187,187,120,123,126,126,311,312,316,311,271,271,306,306,105,105,105,105,160,166,198,219
1920,FR,,F,100,103,103,103,179,179,179,179,120,123,126,126,308,316,317,312,267,282,287,286,105,105,105,110,160,166,169,233
1921,FR,,F,103,103,103,106,179,179,179,179,120,120,120,123,316,316,316,316,267,301,306,307,105,105,105,105,158,160,166,217
1922,FR,,F,100,100,100,103,179,179,179,186,120,120,123,126,312,312,317,317,,,,,105,105,105,105,166,169,219,219
1923,FR,,F,103,103,103,103,179,179,179,179,120,120,120,126,312,312,316,319,282,306,329,329,105,105,105,105,166,198,198,201
1924,FR,,F,100,103,103,106,179,179,187,187,117,120,120,123,311,311,319,319,287,307,329,307,105,105,105,105,160,160,160,219
1925,FR,,F,100,103,103,106,179,179,187,187,120,120,117,126,312,316,319,319,282,306,307,307,105,105,105,105,160,160,166,201
1926,FR,,F,100,103,103,103,179,179,179,179,120,120,123,126,308,311,316,317,265,282,287,329,105,105,105,105,153,158,160,160
